"occurrence_no","record_type","reid_no","superceded","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","late_interval","early_age","late_age","reference_no","lng","lat","cc","state","county","geogscale","protected","early_age","late_age","cx_int_no","early_int_no","late_int_no","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","collection_aka","authorizer_no","enterer_no","modifier_no","authorizer","enterer","modifier","created","modified","paleomodel","paleolng","paleolat","geoplate"
"301334","occurrence","","","123985","Agrion latreillei n. sp.","species","177934","Stenophlebia latreillei","species","177945","Early Tithonian","","150.8","145","50674, 50674","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-03-13 07:22:49","2014-04-07 23:25:48","","23.87","32.08","305"
"301343","occurrence","","","123985","Mesuropetala koehleri","species","177596","Mesuropetala muensteri","species","177594","Early Tithonian","","150.8","145","38253, 38253","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-03-13 07:30:56","2013-12-02 22:56:39","","23.87","32.08","305"
"301345","occurrence","","","123985","Libellula densa n. sp.","species","179406","Misofaeschnidium densum","species","179600","Early Tithonian","","150.8","145","35493, 35493","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-03-13 07:30:56","2013-12-02 23:52:24","","23.87","32.08","305"
"301380","occurrence","","","139550","Bergeriaeschnidia n. gen. inexpectata n. sp.","species","179440","Bergeriaeschnidia inexpectata","species","179440","Early Tithonian","","150.8","145","8342, 8342","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-03-13 08:11:25","2013-12-01 21:37:01","","23.87","32.08","305"
"301405","occurrence","","","139551","Eumorbaeschna jurassica","species","178599","Eumorbaeschna jurassica","species","178599","Early Tithonian","","150.8","145","35206, 35206","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-03-13 11:16:33","2013-12-03 00:13:43","","23.87","32.08","305"
"301421","occurrence","","","152902","Solnhofenia n. gen. stoebeneri n. sp.","species","179471","Solnhofenia stoebeneri","species","179471","Early Tithonian","","150.8","145","8352, 8352","11.145000","48.895000","DE","Bayern","","outcrop","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-03-13 12:04:58","2013-12-03 00:21:45","","23.87","32.07","305"
"301422","occurrence","","","117532","Aeschnogomphus kuempeli n. sp.","species","201403","Aeschnogomphus kuempeli","species","201403","Early Tithonian","","150.8","145","8352, 8352","11.145000","48.895000","DE","Bavaria","","outcrop","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","Plattenkalk limestone","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","418","Labandeira, C.","Spencer-Lee, A.","Karr, J.","2003-03-13 12:04:58","2011-09-22 16:37:23","","23.87","32.07","305"
"301433","occurrence","","","133578","Estemoa densa","species","179603","Misofaeschnidium densum","species","179600","Early Tithonian","","150.8","145","8357, 8357","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","Y","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","418","Labandeira, C.","Spencer-Lee, A.","Karr, J.","2003-03-13 13:23:24","2013-02-18 13:57:56","","23.87","32.08","305"
"332521","occurrence","","","139547","Stenophlebia casta","species","177959","Parastenophlebia casta","species","201410","Early Tithonian","","150.8","145","37821, 37821","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonotum ammonoid","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-05-06 07:08:43","2013-12-01 23:47:03","","23.87","32.08","305"
"332522","occurrence","","","139551","Isophlebia aspasia","species","180478","Isophlebia aspasia","species","180478","Early Tithonian","","150.8","145","35532, 35532","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-05-06 07:08:43","2013-12-02 21:33:24","","23.87","32.08","305"
"332524","occurrence","","","123994","Anax buchii n. sp.","species","288725","Anax buchii","species","288725","Early Tithonian","","150.8","145","50125, 50125","11.145000","48.910000","DE","Bavaria","","local area","","150.8","145","124","124","124","Solnhofen","","Upper","group of beds","Hybonoticeras hybonotum","","","bottom to top","","","","","","lime mudstone","gray","lithified","calcareous","Y","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-05-06 07:23:05","2014-02-08 17:56:54","","23.87","32.08","305"
"332532","occurrence","","","123994","Protolindenia wittei","species","203606","Protolindenia wittei","species","203606","Early Tithonian","","150.8","145","38253, 38253","11.145000","48.910000","DE","Bavaria","","local area","","150.8","145","124","124","124","Solnhofen","","Upper","group of beds","Hybonoticeras hybonotum","","","bottom to top","","","","","","lime mudstone","gray","lithified","calcareous","Y","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-05-06 07:23:05","2013-12-01 21:14:56","","23.87","32.08","305"
"332533","occurrence","","","123985","Aeschnogomphus intermedius n. sp.","species","203626","Aeschnogomphus intermedius","species","203626","Early Tithonian","","150.8","145","8345, 8345","11.145000","48.910000","DE","Bayern","","local area","","150.8","145","124","124","124","Solnhofen","","","group of beds","Hybonoticeras hybonotum","","","","","","","","","lime mudstone","planar lamination","lithified","","","","","","","","lagoonal/restricted shallow subtidal","passive margin","","","33","132","166","Labandeira, C.","Spencer-Lee, A.","Clapham, M.","2003-05-06 07:27:24","2013-12-01 20:48:30","","23.87","32.08","305"
